text,label
"@avi07325462 הנאשם מרוב תיסכול הפך מחבק ""תומכי טרור""",Offensive
@kara2187 @soup03393000 אני רוצה לציין גם שפמינאציות האוכל המהיר זה אירגון לא חוקים בכ80 מדינות הוא מוגדר שם כארגון טרור,NOT
@sari_azoulay @naftalibennett @bezalelsm שרי יקרה  למרות שיש לי טוויטר חודשים בלבד זה מרגיש עם הויכוחים איתך שנים😉 כפי שתמיד אמרתי ועשיתי אני מצביע לבייס הדתי-ציוני  בנט יכול להיות שותף.אך לעולם לא תחליף.,NOT
@mironrazkafman @ListJoint אני לא מוסלמי שמרן.,NOT
@Yossi_eli תומך טרור ומהלל שהידים זה המנהיג שלהם. ותגידו לי שאתם מופתעים....,Offensive
"על פי חוק השב""כ! כל שוטר ופרקליט שפתחו בחקירה נגד ראש הממשלה בניגוד לחוק - צריכים להיחקר מיידית. *שמונה ימים *במרתפים הטחובים *עם פשפשים *עם המאהבות והסטיות שלהם על מסכי ענק *בהרעבה מתמדת *עם מדובבים (כמו שעשו לאלי קמיר  כן?) עד שנבין מי הרשה לעצמו לרצוח לנו את הדמוקרטיה. https://t.co/faUDHr7ouh",Offensive
@Yashar2U @GolSigalit ירדה עליה רצח. תקשיבי  זה רק כמה דקות,NOT
"מה שהיה בשבוע שעבר ביהודה ושומרון הוא אחד מהשבועות היותר קשים שהיו למתנחלים . אסתר אורגן ז""ל תושבת היישוב טל מנשה נרצחה בדם קר על ידי מחבל מתועב שכל חטאה היחיד הוא בזה שהיא יהודיה. רצח אסתר אורגן היה פיגוע שנעשה על ידי מחבל ללא אמצעי לחימה כלל . המחבל הרג אותה באמצעות אבן ולא",Offensive
RT @ISudri: @judash0 פרצופו האמיתי של אבי ביטון נחשף לעיני כל. מדובר בשמאלני  אנטי ציוני  עוכר ישראל  בוגד שממומן ע״י הקרן החדשה להפיל את ש…,Offensive
@BaudinSdc @BarakRavid את רבין רצח יגאל עמיר  מה זה קשור? ומי אלה הtalmudists   בחיים לא שמעתי עליהם. לפני הרצח לא התפוצצו פה יהודים? לא לנסות לערבב אותי. רבין היה ראש ממשלה גרוע שהימר על חייהם של אזרחי ישראל וזה לא קשור לרצח שלו. למה פרס הפסיד לביבי אתה ,Offensive
"עוד אמר: אני מאמין בתורת ז’בוטינסקי שצריך לתת את כל הזכויות לכל אזרח במדינת ישראל. (''שילוב החברה הערבית הוא מעשה ציוני מאין כמוהו""  שם  שם)",Offensive
@Onetruth011 ימח שמה וזכרה של אילנה דיין. העיתונאית הכי מנוולת ושקרנית שאני מכיר. ממש מרשעת.,Offensive
"@HGoldich מעצר מוצדק לחלוטין. מי שקורא לשוטר ""רוצח""  הוא פושע  נקודה...",NOT
@AviNoga3 מה זה? מחסל של דאעש מחובר לאק״ג 😱🤣🤣🤣🤣,NOT
@radio103fm @BenCaspit צריך לשלוח אותך לתאי גזים כי אתה אנטישמי.,Offensive
נטפליקס. אותי זה מרדים תוך רבע שעה. זה עובר פרקים בלי שתלחץ  אז בבוקר  זה תמיד מסתבר  לעיני האוהבות  שצפיתי בהכל. על בסיס זה  יש לי המלצה לעוד כדור שינה למחרת. אני נרדם עם תוכניות על רוצחים סדרתיים- בעיקר. רוצח כל הלילה  מסתבר  לעוד בוקר מאושר  זה כל הנט של פליקס.,NOT
@Yovelinho @Noamkatz7 אם לא ברורות הסיבות למותו  אין בעיה  את זה עושים. אבל בדרך כלל מי שנהרג זה מחבל. תודה.,Offensive
@ZManvitch @nivli בית משפט יכול להחליט אותו דבר. תאר לל שבבית משפט ישבו חברי מועצת גדולי התורה או איזשהו פורום דתי מוסלמי,NOT
@leeat55 בקשר לפנס השמועה אומרת שהוא קשר ביולי קשר לרצוח את הנשיא והוא במעצר ופנס שאנחנו רואים זה כפיל.לא מצאתי אימות לזה אבל כשמחברים את הנקודות וה 23.12 הוא לא עושה כביכול כלום עם האלקטורים המזוהמים אז מבינים שצריך להציג אותו לציבור כבוגד? בהנחה שווד לא,NOT
שתדעו שההמבורגר של מקדונלדס טעים רצח,NOT
אנטישמי נולד @antoineeliaroni מדהים לראות איך מציוץ לציוץ הוא מקלף מעצמו עטיפה אחרי עטיפה עד שהוא מגיע לזה👇 רק בישראל הזבל'ה מרשה לעצמו להרים ראש  מנפלאותיה של האפליה המתקנת. https://t.co/TUkBr425K2,NOT
"RT @mossi_raz: ""גם כיבוש בלית ברירה הוא משחית. גם כיבוש נאור והומני וליברלי הוא כיבוש"". עמוס עוז  גדול סופרי ישראל  נפטר היום לפני שנתיים.",NOT
@IncaFireForce @danielblupi1 פעם ראשונה מישהו שהוא לא גוקו מביא את הfinishing blow וג'יטה וuub עזרו רצח,NOT
"@YosephHaddad @rabea_bader עצוב ששניכם מחשיבים ""ציוני"" כעלבוו",NOT
@MoranT555 @YosephHaddad הוא צודק. ערבי ישראלי . ערבי ישראלי לא יתנגד לחוק הלאום ומדינה כל אזרחיה לא יכולה להתקיים כאן. כי הוא יודע שרק שמירה על הצביון היהודי שלנו תשמור עליו שלא נגמור כמו סוריה וכו...במדינה שתוציא אותו להורג רק בגלל שהפגין או בגלל שאת אש,Offensive
@ChangedBio מה ערבי זה בן אדם ?,Offensive
RT @ilanshpr: …הפשטה  הטרדה מינית ופגיעה במפגינים  בגופם וברכושם  וגם למכות רצח לחרדים ולנערי גבעות מפגינים. על כול אורגיית האלימות הזאת מ…,NOT
ראיתי עכשיו סרטון שמישהי התקשרה ללואי ופשוט אמרה לו לעקוב אחריה ושהוא ימות ושהתינוקת שלו ימות ואני פשוט בהלם מכמה אנשים יכולים להיות גועל נפש,Offensive
@razayal @dasdasit כמה מסרים סותרים  אתה בסחרור. אתה איש ימין כמו שאני פלסטיני.,Offensive
@netanyahu ביבי! הרכבת יצאה מזמן. המרוקאים אמיתיים  החרותניקים.כבר לא יצביעו עבורך. אפילו שהמלך היקר שלנו מוחמד ה: 6. אלוקים ישמור אותו אמן. יגיע לארץ אנחנו נקבל אותו בצהלולים ובחום רב. אבל זה לא ישנה את זה שעבורך המרוקאים לא יצביעו.,NOT
@kohavy האמת  שיישרף הפנטזי  כל עוד הקבוצה המגעילה הזאת תמשיך לשחק ככה,NOT
"מישהו עיצבן אותי הוא כתב ככה תגובה על מה שהגיד הרשפ"": הפלסטינאים חיים במושגים של העבר הרחוק   שהיהודים צריכים לחיות בגלות   אבל למען עתיד איכותי של עמי האיזור   נכון יהיה   שיקלטו את הפלסטינאים מרצועת עזה ומיהודה ושומרון   כשם שמדינת ישראל קלטה את יהדות ערב וגם ממדינות אחרות .",Offensive
@rothmar @JoshBreiner שמחה בכנות  היית אומר אותו דבר על חכ מהמשותפת שמוכן להיות ערב לאנס ערבי?,NOT
@carmeldangor מאחז זה התנחלות?,NOT
@YKanot @amit_segal אתה אולי שמאלני  אבל ישראלי ציוני אתה לא!! תתבייש לך!,NOT
@ak0506730000 @Haskupim מי אתה בכלל שתחליט מה כן ומה לא דרך הרבי???? וכן זה רצח בדם קר תתמצא בחומר ואז תבין שבמקום להציל את הבחור ולתת לו סיוע רפואי נתנו לו להתבוסס בדמו עד שיצאה נשמתי,NOT
@dvir_gopshtein מה😳 אני מבינה שזה מבאס שקוראים לך רוצח אבל היית צריך לחשוב על זה לפני שהלכת להיות שוטר חמוד,NOT
@Yud19851 @Riklin10 בסוף הצעירים עובדים לממן את הפנסיה של הזקנים ככה העולם עובד ואם הם בבית כי לא חוסנו זה מטומטם רצח,NOT
מדינת משטרה !!! פרקליטות מושחתת !!! בית משפט מושחת !!!! פרקליט מדינה מניאק מוחזק בגרון פושע עבריין !!! מנדלבליט רוצח המונים שנותן למפגינים להפיץ וירוסים ומחלות !!! משטרת ישראל רוצחת ילדים חפים מפשע בחסות מנדלבליט ובתי המשפט די נמאסתם פושעים לכו !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Offensive
@Likud_Party ימין שימכור נשק לערבים ויקים ממשלה בתמיכת תומכי טרור. עאלק ימין על מלא. מרצ יותר ימין ממכם.,NOT
@Onetruth011 אתה סתם מבלבל במח  עוד מהבכי והנהי הבלתי נגמר מבית המדרש שלכם. גלעד שליט היה חייל שנחטף במילוי תפקידו והוחזק בשבי ע״י ארגון טרור במשך יותר מ-5 שנים. בסוף מי שבחר לשחרר אותו במחיר לא הגיוני הוא הפטרון שלכם  כמובן בשביל לזכות בעוד כמה קולות בבח,NOT
@drmichaelbenari @coroy13 בגין לא הכיר בעם ערבי ארצישראלי. בהסכמי קמפ דיוויד נכתב בעברית ערביי ארץ ישראל ובאנגלית התרגום האנגלי לערביי ארץ ישראל הערבים ״הפלשתינאים״   השם הלועזי של הארץ מאז מרד בר כוכבא. בתקופת המנדט היו יהודים פלשתינאים וערבים פלשתינאים.,Offensive
@BQgVI4TbpilZZp4 @hebmeme @KalmanLiebskind זה נכון. הם תחת כיבוש של המינהל האזרחי וחסרי הגנה מול התעללות השלטונות.,Offensive
@NoaLavi6 בזכות מי שמקבל מכות רצח הוא ראש הממשלה. הוא חייב לעם  העם לא חייב לו. הוא נבחר ציבור. והציבור רוצה לראות את נבחריו עומדים ועוזרים להם. מה כל כך קשה להבין ,NOT
@HatulShelShrek אני רוצה לשרוף את זה,NOT
@Ahmad_tibi טיבי אל תסית את ערבי ישראל הם אנשים טובים שרוצים לחיות ולהתפרנס אני עובד איתם לא מעניין אותם מה קורה בעזה,Offensive
"השיח הזה לפיו ""כולם משקרים  אי אפשר להאמין להבטחות של הפוליטיקאים"" הוא מעין פיגוע נגד הדמוקרטיה הישראלית. זה בדיוק המסר שנתניהו מנסה להטמיע כאן. לייאש את הבוחרים  להרוג את השאיפה לשינוי. אז לא. לא כולם משקרים. @yairlapid ו""יש עתיד"" לא שיקרו ונשארו נאמנים לבוחר. יש על מי לסמוך.",NOT
RT @SrugimNews: ראש הממשלה שוב לא יגיע לניחום אבלים בשומרון https://t.co/b2oKhaY8rd למרות הנוהג של ראשי המדינה לנחם משפחות שכולות נפגעות טר…,Offensive
@Gilli_Parann @AvigdorLiberman ערבי אחרון בעטו מהמפלגה.... הציניות לא תוביל אותך רחוק  אבל חיבור של ליברמן למרצ יוביל את ישראל ביתנו לקבר ... חא שאני נגד,Offensive
@AvishayBenHaim זה כמו המלצרית של ריקלין? אתה יכול להראות הוכחות עם שמות של אנשים? או שאתה מהדהד מסרים של בוטים כדי להמשיך לאנוס את התיאוריה שלך על המציאות?,NOT
@AybeeBinyamin חלאות מסוכנות. להשמיד את נגיפי הארכי פושע מבלפור,Offensive
הממשלה הזאת היא פיגוע המוני https://t.co/gHokk3B0PV,NOT
RT @berale_crombie: ראיתי הערב עשרות מקרי אלימות כאלה. מכות רצח לשם מכות. אין קשר לאכיפה. 8 חודשים מפגיני בלפור לא ראו רבע מהאלימות בהפגנה…,NOT
@JbareenYanal @rabea_bader מי שהתנער מערבי ישראל  אלו דווקא מי שבחרתם בהם והיו אמורים לדאוג לאינטרסים שלהם ובמקום זה  הם היו עסוקים להתחרות מי יהיה יותר לאומני ולוחמני למען הפלסטינים ...,Offensive
@YinonMagal שהשוטרים התנהגו בסבלנות ללא סוסים מכות רצח מכתזיות כמו בבלפור בדיוק לא יקרה כאלה דברים מפגני הימין בסך הכול מגנים,Offensive
💬פיגוע דקירה נמנע בירושלים: תושב מזרח העיר (20) הגיע ביום שישי לתחנת המשטרה 'שלם' והתוודה כי בכוונתו לבצע פיגוע דקירה. הצעיר מסר לשוטרים סכין. כך דיווח לירן תמרי,Offensive
@desimotriko @loBediuk @My_Oh_May לשרוף את העולם ועוד בשבילך? זה נשמע לך הגיוני באיזושהי קונסטלאציה? כאילו מה,NOT
"@MoranT555 אבל זה בדיוק העניין. זה מנקודת מבטך. אם תקראי את מה שיוסף כותב  הוא מבין את המושג ""ציוני"" בהקשר היהודי בלבד ולכן  גם אם נניח שתומך נלהב של ישראל כמדינה יהודית ודמוקרטית (ואני לא יודע)  הוא לא מחשיב עצמו ציוני (כפי שלא יחשיב עצמו יהודי)  למרות ש",NOT
@9jr9IyoFPkwQphk @judash0 מה הקשר. תבין לליכוד אין שום דבר נגד ערבים בניגוד למה שערוצי התעמולה משווקים. ערבים שהם בעד מדינת ישראל תורמים אין שום בעייה לשלב אותם בליכוד. יש הרבה ערבים ימניים שמצביעים ליכוד.הבעייה שלנו זה עם תומכי טרור ומחבלים שבמקרה גם יש ,Offensive
@YosephHaddad @MoranT555 או שאינך מבין ציונות מהי  או שאתה מיתמם. שום קשר לדת - השקפה מדינית. נאמר זאת אחרת: האם אתה מכיר בקיום העם היהודי ובזכותו להגדרה עצמית במדינה יהודית? אם כן (ונראה שכן) אתה בהחלט ציוני. אם לא - במה אתה שונה בנקודה זו מאיימן עודה?,NOT
@Liem_tpwk א. הם לא נראלי עדיין חברים ב. היא אובססיבית לאיזה פסיכופט אחד שיש עליו סדרת ספרים והוא גם אנטישמי והתחפשה לאשה שהיא אחת מהקורבנות שלו וגם היא אמרה נראלי דברים גזעניים כמה פעמיים,NOT
אין כלום כי לא היה כלום. אויב הציבור מס 1 פרקליטות https://t.co/NUOXq0r1kQ,Offensive
@haski_oren @ErelSegal יהודי טרוריסט,Offensive
@idanlandau עידן לנדאו  אז מה  יוסף חדאד הוא בעיניך ערבי מחמד. מדוע  כי הוא בעד מדינת ישראל המדינה שהוא אזרח בה..? מבחינתך ערבי צריך להיות מזוהה עם אג׳נדת שמאל ועליו להתנהג לתפיסתך כתומך פאתח  חמאס  ג׳יהאד אסלאמי  או בל״ד. אתה בודאי גם מצפה שיתמוך בפיגועי,Offensive
@SefyHendler גם אצל איסלאמיסטים (ג׳סטה שהפכה מזוהה עם דאעש) יש ענין עם אצבע מופנית למעלה שמסמלת ״תווחיד״  אין אלוהים מלבד אללה,NOT
"תנועת חמאס התחילה בפרוייקט שיקום מחנות הפליטים בלבנון בתחום התשתיות: מים חשמל וסלילת כבישים. לאן נעלם אש""פ? https://t.co/HhzomYJh84",NOT
אם שיתוף פעולה עם תומכי טרור זה מעורר תקווה  אז עדיף שלא תהיה תקווה. https://t.co/PEmU8lnUSx,NOT
@moshe_hefetz אמרתי שאני לא מעריכה?? זה לא קשור לכך שאני רואה בעיה בכך שבחברה הערבית כאן המילה ציוני היא עלבון וחבל לי שיוסף מתנער מההגדרה הזו  וכנראה זה מתחבר להתנגדותו לחוק הלאום.,NOT
@tuviapeled @ayeletsl השמאל הבולשביקי הקים ק'צטים להשמדת דתם של עולי המזרח כמו מחנה עין-שמר .... סחר ומכר וערך ניסויים בילדי העולים. ערכו של מי שלא נשא פנקס אדום היה פחות מזבל.. בולשביקים סטאליניסטים יחד עם שמש העמים שלהם סטאלין רוצח ההמונים לדיראון עולם.,Offensive
